county_fips,measure,value
40117,no_highschool_share,0.12581728
13249,no_highschool_share,0.27003327
13309,no_highschool_share,0.25208938
12127,no_highschool_share,0.12367722
12031,no_highschool_share,0.1211834
12103,no_highschool_share,0.11051827
12069,no_highschool_share,0.13648318
12119,no_highschool_share,0.12218437
12023,no_highschool_share,0.17417192
12033,no_highschool_share,0.12143157
12089,no_highschool_share,0.10621865
12079,no_highschool_share,0.21844879
12017,no_highschool_share,0.14003052
12125,no_highschool_share,0.26116362
42133,no_highschool_share,0.11883607
42125,no_highschool_share,0.096097909
42063,no_highschool_share,0.12182102
42005,no_highschool_share,0.11105545
44009,no_highschool_share,0.073347487
45083,no_highschool_share,0.17804424
45019,no_highschool_share,0.11681311
45027,no_highschool_share,0.22293562
45015,no_highschool_share,0.1331532
45055,no_highschool_share,0.15137067
45043,no_highschool_share,0.15482409
41051,no_highschool_share,0.10283877
41007,no_highschool_share,0.084799513000000007
42043,no_highschool_share,0.11049523
45049,no_highschool_share,0.24185517
45053,no_highschool_share,0.21248874
39095,no_highschool_share,0.12243766
39011,no_highschool_share,0.085900664
41033,no_highschool_share,0.11618733
41031,no_highschool_share,0.15312082
44005,no_highschool_share,0.073176958
41039,no_highschool_share,0.088610895
42103,no_highschool_share,0.087366827
45009,no_highschool_share,0.24477787
40125,no_highschool_share,0.13870148
40135,no_highschool_share,0.18683477
40027,no_highschool_share,0.091147564
45067,no_highschool_share,0.18204568
40113,no_highschool_share,0.12442706
45069,no_highschool_share,0.3014062
48453,no_highschool_share,0.12980832
48345,no_highschool_share,0.13186814
48423,no_highschool_share,0.14768645
48213,no_highschool_share,0.19301076
48157,no_highschool_share,0.11519896
48427,no_highschool_share,0.55034471
48347,no_highschool_share,0.19507332
48161,no_highschool_share,0.21221185
48141,no_highschool_share,0.26001948
48135,no_highschool_share,0.27089289
48245,no_highschool_share,0.17648268
48379,no_highschool_share,0.17783634
48349,no_highschool_share,0.21429734
48351,no_highschool_share,0.14856967
48071,no_highschool_share,0.15009224
48287,no_highschool_share,0.18366607
48401,no_highschool_share,0.20233089
48089,no_highschool_share,0.17770666
48055,no_highschool_share,0.21002811
48005,no_highschool_share,0.21797492
48035,no_highschool_share,0.18035853
48333,no_highschool_share,0.1853916
48083,no_highschool_share,0.17731924
48409,no_highschool_share,0.23028491
30035,no_highschool_share,0.1645472
30047,no_highschool_share,0.097828887
30043,no_highschool_share,0.056617558
30099,no_highschool_share,0.09594883
